training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.25375003,-1.0,-49.820038,-87.79128,0.46537125,-0.14485253,15.34567,-1.3919402,-49.680016,-88.517456,0.011695817,0.0009965239524841309,2006.7921078205109,12000
0.29781294,0.0,-51.101482,-89.78606,0.22196692,-0.6233108,15.953308,0.08429892,-50.967335,-89.21692,0.012127207,0.0009812663555145264,2011.6984474658966,13000
0.17470902,0.0,-47.79446,-89.20655,0.49902678,-0.1765556,15.3389,0.099134155,-47.675903,-89.35119,0.00875468,0.0010078684329986572,2016.7377984523773,14000
0.24517849,0.0,-47.8631,-90.12152,0.4976078,-0.1602866,15.825054,-0.10469491,-47.72734,-89.7042,0.013018061,0.0008327233791351319,2020.9014353752136,15000
0.19274056,-1.0,-52.82068,-84.50663,0.43789706,-0.15262474,14.50187,-0.4014516,-52.708996,-84.51041,0.010391176,0.0008826891422271728,2025.314890384674,16000
0.16944247,0.0,-49.968666,-82.48935,0.43173563,-0.21517831,8.820431,0.1229302,-49.830143,-82.49907,0.008088173,0.0009909274101257324,2030.269536972046,17000
0.1734308,-1.0,-48.644325,-82.83586,0.12885763,-0.3460505,10.192834,-0.58978474,-48.51862,-82.87313,0.0066937776,0.000814586353302002,2034.3424770832062,18000
0.10013288,0.0,-49.83226,-89.56332,0.22234464,-0.21077922,6.699363,0.69853085,-49.711678,-89.55672,0.007638054,0.0008488794803619385,2038.5868825912476,19000
0.10214811,-1.0,-48.805202,-85.605255,0.33571708,-0.16392532,6.5730534,-0.8613604,-48.690666,-85.596695,0.004863616,0.001043681001663208,2043.8052952289581,20000
0.24458411,0.0,-47.760582,-87.337364,0.24873495,-0.6878388,19.223488,-0.077678196,-47.646378,-87.38835,0.012128482,0.0010006778240203857,2048.808693885803,21000
0.14821777,0.0,-48.156933,-86.41398,0.16917588,-0.28404894,7.4025793,-0.03511153,-48.035538,-86.20833,0.0072480505,0.0006975335121154786,2052.296369791031,22000
0.106264874,0.0,-48.110947,-88.169495,0.37014973,-0.22117569,7.9315143,0.2530847,-48.006348,-88.130936,0.0063282894,0.0006859429836273193,2055.7260925769806,23000
0.11909112,0.0,-49.86761,-90.62002,0.17051616,-0.20354149,5.500201,0.095550016,-49.75992,-90.4326,0.0060014455,0.0007479715824127198,2059.4659583568573,24000
